districtid,monthid,cases
AP_Anantapur,1,0.0
AP_Anantapur,2,118.0
AP_Anantapur,3,345.0
AP_Anantapur,4,3188.0
AP_Anantapur,5,24445.0
AP_Anantapur,6,21693.0
AP_Anantapur,7,11821.0
AP_Anantapur,8,4493.0
AP_Anantapur,9,911.0
AP_Anantapur,10,535.0
AP_Anantapur,11,146.0
AP_Anantapur,12,162.0
AP_Anantapur,13,2224.0
AP_Anantapur,14,37805.0
AP_Anantapur,15,41980.0
AP_Anantapur,16,5409.0
AP_Anantapur,17,1496.0
AP_Chittoor,1,0.0
AP_Chittoor,2,151.0
AP_Chittoor,3,202.0
AP_Chittoor,4,2721.0
AP_Chittoor,5,18445.0
AP_Chittoor,6,28627.0
AP_Chittoor,7,21579.0
AP_Chittoor,8,10250.0
AP_Chittoor,9,2914.0
AP_Chittoor,10,1810.0
AP_Chittoor,11,510.0
AP_Chittoor,12,861.0
AP_Chittoor,13,8103.0
AP_Chittoor,14,54995.0
AP_Chittoor,15,57810.0
AP_Chittoor,16,16513.0
AP_Chittoor,17,9380.0
AP_East Godavari,1,0.0
AP_East Godavari,2,51.0
AP_East Godavari,3,301.0
AP_East Godavari,4,2763.0
AP_East Godavari,5,35177.0
AP_East Godavari,6,39928.0
AP_East Godavari,7,29668.0
AP_East Godavari,8,12414.0
AP_East Godavari,9,2714.0
AP_East Godavari,10,1011.0
AP_East Godavari,11,333.0
AP_East Godavari,12,286.0
AP_East Godavari,13,2460.0
AP_East Godavari,14,49697.0
AP_East Godavari,15,71663.0
AP_East Godavari,16,22683.0
AP_East Godavari,17,11240.0
AP_Guntur,1,0.0
AP_Guntur,2,404.0
AP_Guntur,3,219.0
AP_Guntur,4,2733.0
AP_Guntur,5,21584.0
AP_Guntur,6,21064.0
AP_Guntur,7,14953.0
AP_Guntur,8,9833.0
AP_Guntur,9,3178.0
AP_Guntur,10,1275.0
AP_Guntur,11,372.0
AP_Guntur,12,296.0
AP_Guntur,13,7606.0
AP_Guntur,14,46209.0
AP_Guntur,15,27837.0
AP_Guntur,16,7853.0
AP_Guntur,17,5077.0
AP_Krishna,1,0.0
AP_Krishna,2,351.0
AP_Krishna,3,350.0
AP_Krishna,4,2043.0
AP_Krishna,5,9039.0
AP_Krishna,6,9692.0
AP_Krishna,7,11435.0
AP_Krishna,8,10134.0
AP_Krishna,9,3677.0
AP_Krishna,10,1564.0
AP_Krishna,11,535.0
AP_Krishna,12,332.0
AP_Krishna,13,4379.0
AP_Krishna,14,20979.0
AP_Krishna,15,21343.0
AP_Krishna,16,8908.0
AP_Krishna,17,6838.0
AP_Kurnool,1,0.0
AP_Kurnool,2,591.0
AP_Kurnool,3,385.0
AP_Kurnool,4,2847.0
AP_Kurnool,5,28189.0
AP_Kurnool,6,19954.0
AP_Kurnool,7,6467.0
AP_Kurnool,8,1482.0
AP_Kurnool,9,501.0
AP_Kurnool,10,298.0
AP_Kurnool,11,133.0
AP_Kurnool,12,114.0
AP_Kurnool,13,2752.0
AP_Kurnool,14,34742.0
AP_Kurnool,15,21248.0
AP_Kurnool,16,3006.0
AP_Kurnool,17,863.0
AP_Prakasam,1,0.0
AP_Prakasam,2,63.0
AP_Prakasam,3,38.0
AP_Prakasam,4,1137.0
AP_Prakasam,5,9525.0
AP_Prakasam,6,26123.0
AP_Prakasam,7,18360.0
AP_Prakasam,8,5668.0
AP_Prakasam,9,890.0
AP_Prakasam,10,303.0
AP_Prakasam,11,86.0
AP_Prakasam,12,59.0
AP_Prakasam,13,2104.0
AP_Prakasam,14,24327.0
AP_Prakasam,15,26602.0
AP_Prakasam,16,10155.0
AP_Prakasam,17,6347.0
AP_S.P.S. Nellore,1,0.0
AP_S.P.S. Nellore,2,126.0
AP_S.P.S. Nellore,3,270.0
AP_S.P.S. Nellore,4,1023.0
AP_S.P.S. Nellore,5,14750.0
AP_S.P.S. Nellore,6,27961.0
AP_S.P.S. Nellore,7,13161.0
AP_S.P.S. Nellore,8,3563.0
AP_S.P.S. Nellore,9,955.0
AP_S.P.S. Nellore,10,438.0
AP_S.P.S. Nellore,11,151.0
AP_S.P.S. Nellore,12,138.0
AP_S.P.S. Nellore,13,3266.0
AP_S.P.S. Nellore,14,35211.0
AP_S.P.S. Nellore,15,22499.0
AP_S.P.S. Nellore,16,6880.0
AP_S.P.S. Nellore,17,6965.0
AP_Srikakulam,1,0.0
AP_Srikakulam,2,7.0
AP_Srikakulam,3,48.0
AP_Srikakulam,4,1359.0
AP_Srikakulam,5,11906.0
AP_Srikakulam,6,19427.0
AP_Srikakulam,7,9339.0
AP_Srikakulam,8,2909.0
AP_Srikakulam,9,728.0
AP_Srikakulam,10,319.0
AP_Srikakulam,11,120.0
AP_Srikakulam,12,138.0
AP_Srikakulam,13,2812.0
AP_Srikakulam,14,41803.0
AP_Srikakulam,15,23782.0
AP_Srikakulam,16,4961.0
AP_Srikakulam,17,1732.0
AP_Visakhapatnam,1,0.0
AP_Visakhapatnam,2,66.0
AP_Visakhapatnam,3,150.0
AP_Visakhapatnam,4,1273.0
AP_Visakhapatnam,5,21913.0
AP_Visakhapatnam,6,20936.0
AP_Visakhapatnam,7,8644.0
AP_Visakhapatnam,8,4256.0
AP_Visakhapatnam,9,1417.0
AP_Visakhapatnam,10,830.0
AP_Visakhapatnam,11,439.0
AP_Visakhapatnam,12,326.0
AP_Visakhapatnam,13,5743.0
AP_Visakhapatnam,14,42317.0
AP_Visakhapatnam,15,36976.0
AP_Visakhapatnam,16,5215.0
AP_Visakhapatnam,17,3197.0
AP_Vizianagaram,1,0.0
AP_Vizianagaram,2,4.0
AP_Vizianagaram,3,68.0
AP_Vizianagaram,4,760.0
AP_Vizianagaram,5,10852.0
AP_Vizianagaram,6,16743.0
AP_Vizianagaram,7,9398.0
AP_Vizianagaram,8,2433.0
AP_Vizianagaram,9,618.0
AP_Vizianagaram,10,221.0
AP_Vizianagaram,11,52.0
AP_Vizianagaram,12,33.0
AP_Vizianagaram,13,1155.0
AP_Vizianagaram,14,19805.0
AP_Vizianagaram,15,15933.0
AP_Vizianagaram,16,2878.0
AP_Vizianagaram,17,823.0
AP_West Godavari,1,0.0
AP_West Godavari,2,69.0
AP_West Godavari,3,217.0
AP_West Godavari,4,1740.0
AP_West Godavari,5,20051.0
AP_West Godavari,6,29488.0
AP_West Godavari,7,25194.0
AP_West Godavari,8,13345.0
AP_West Godavari,9,3293.0
AP_West Godavari,10,686.0
AP_West Godavari,11,203.0
AP_West Godavari,12,96.0
AP_West Godavari,13,480.0
AP_West Godavari,14,21742.0
AP_West Godavari,15,35583.0
AP_West Godavari,16,14164.0
AP_West Godavari,17,5636.0
AP_Y.S.R. Kadapa,1,0.0
AP_Y.S.R. Kadapa,2,99.0
AP_Y.S.R. Kadapa,3,148.0
AP_Y.S.R. Kadapa,4,1735.0
