districtid,weekid,cases
AP_Anantapur,1,0.0
AP_Anantapur,2,0.0
AP_Anantapur,3,0.0
AP_Anantapur,4,0.0
AP_Anantapur,5,0.0
AP_Anantapur,6,0.0
AP_Anantapur,7,71.0
AP_Anantapur,8,31.0
AP_Anantapur,9,20.0
AP_Anantapur,10,14.0
AP_Anantapur,11,73.0
AP_Anantapur,12,65.0
AP_Anantapur,13,144.0
AP_Anantapur,14,371.0
AP_Anantapur,15,531.0
AP_Anantapur,16,779.0
AP_Anantapur,17,1062.0
AP_Anantapur,18,1343.0
AP_Anantapur,19,4485.0
AP_Anantapur,20,6838.0
AP_Anantapur,21,7422.0
AP_Anantapur,22,5698.0
AP_Anantapur,23,5380.0
AP_Anantapur,24,5133.0
AP_Anantapur,25,5087.0
AP_Anantapur,26,4238.0
AP_Anantapur,27,3513.0
AP_Anantapur,28,3431.0
AP_Anantapur,29,2594.0
AP_Anantapur,30,2313.0
AP_Anantapur,31,1632.0
AP_Anantapur,32,1322.0
AP_Anantapur,33,1016.0
AP_Anantapur,34,863.0
AP_Anantapur,35,634.0
AP_Anantapur,36,325.0
AP_Anantapur,37,226.0
AP_Anantapur,38,171.0
AP_Anantapur,39,164.0
AP_Anantapur,40,132.0
AP_Anantapur,41,127.0
AP_Anantapur,42,126.0
AP_Anantapur,43,116.0
AP_Anantapur,44,63.0
AP_Anantapur,45,51.0
AP_Anantapur,46,37.0
AP_Anantapur,47,32.0
AP_Anantapur,48,16.0
AP_Anantapur,49,29.0
AP_Anantapur,50,35.0
AP_Anantapur,51,48.0
AP_Anantapur,52,47.0
AP_Anantapur,53,98.0
AP_Anantapur,54,268.0
AP_Anantapur,55,331.0
AP_Anantapur,56,786.0
AP_Anantapur,57,1817.0
AP_Anantapur,58,4641.0
AP_Anantapur,59,8625.0
AP_Anantapur,60,12324.0
AP_Anantapur,61,14123.0
AP_Anantapur,62,15987.0
AP_Anantapur,63,9691.0
AP_Anantapur,64,7126.0
AP_Anantapur,65,5562.0
AP_Anantapur,66,2420.0
AP_Anantapur,67,1701.0
AP_Anantapur,68,980.0
AP_Anantapur,69,654.0
AP_Anantapur,70,498.0
AP_Anantapur,71,457.0
AP_Anantapur,72,335.0
AP_Anantapur,73,264.0
AP_Anantapur,74,235.0
AP_Chittoor,1,0.0
AP_Chittoor,2,0.0
AP_Chittoor,3,0.0
AP_Chittoor,4,0.0
AP_Chittoor,5,0.0
AP_Chittoor,6,0.0
AP_Chittoor,7,80.0
AP_Chittoor,8,16.0
AP_Chittoor,9,77.0
AP_Chittoor,10,35.0
AP_Chittoor,11,45.0
AP_Chittoor,12,45.0
AP_Chittoor,13,52.0
AP_Chittoor,14,165.0
AP_Chittoor,15,294.0
AP_Chittoor,16,441.0
AP_Chittoor,17,1259.0
AP_Chittoor,18,1698.0
AP_Chittoor,19,2662.0
AP_Chittoor,20,4458.0
AP_Chittoor,21,4922.0
AP_Chittoor,22,6229.0
AP_Chittoor,23,6418.0
AP_Chittoor,24,5869.0
AP_Chittoor,25,6869.0
AP_Chittoor,26,6807.0
AP_Chittoor,27,5618.0
AP_Chittoor,28,5184.0
AP_Chittoor,29,5255.0
AP_Chittoor,30,5111.0
AP_Chittoor,31,3588.0
AP_Chittoor,32,2897.0
AP_Chittoor,33,2248.0
AP_Chittoor,34,2095.0
AP_Chittoor,35,1538.0
AP_Chittoor,36,989.0
AP_Chittoor,37,615.0
AP_Chittoor,38,582.0
AP_Chittoor,39,581.0
AP_Chittoor,40,639.0
AP_Chittoor,41,450.0
AP_Chittoor,42,417.0
AP_Chittoor,43,305.0
AP_Chittoor,44,180.0
AP_Chittoor,45,195.0
AP_Chittoor,46,90.0
AP_Chittoor,47,93.0
AP_Chittoor,48,89.0
AP_Chittoor,49,95.0
AP_Chittoor,50,146.0
AP_Chittoor,51,203.0
AP_Chittoor,52,336.0
AP_Chittoor,53,369.0
AP_Chittoor,54,793.0
AP_Chittoor,55,1359.0
AP_Chittoor,56,2940.0
AP_Chittoor,57,5642.0
AP_Chittoor,58,9261.0
AP_Chittoor,59,13808.0
AP_Chittoor,60,15616.0
AP_Chittoor,61,16284.0
AP_Chittoor,62,18635.0
AP_Chittoor,63,15148.0
AP_Chittoor,64,11301.0
AP_Chittoor,65,8014.0
AP_Chittoor,66,6148.0
AP_Chittoor,67,4517.0
AP_Chittoor,68,3677.0
AP_Chittoor,69,2740.0
AP_Chittoor,70,2354.0
AP_Chittoor,71,2248.0
AP_Chittoor,72,2164.0
AP_Chittoor,73,2305.0
AP_Chittoor,74,1568.0
AP_East Godavari,1,0.0
AP_East Godavari,2,0.0
AP_East Godavari,3,0.0
AP_East Godavari,4,0.0
AP_East Godavari,5,0.0
AP_East Godavari,6,0.0
AP_East Godavari,7,45.0
AP_East Godavari,8,1.0
AP_East Godavari,9,6.0
AP_East Godavari,10,7.0
AP_East Godavari,11,131.0
AP_East Godavari,12,82.0
AP_East Godavari,13,48.0
AP_East Godavari,14,165.0
AP_East Godavari,15,460.0
AP_East Godavari,16,544.0
AP_East Godavari,17,885.0
AP_East Godavari,18,3125.0
AP_East Godavari,19,6892.0
AP_East Godavari,20,8880.0
AP_East Godavari,21,8889.0
AP_East Godavari,22,9258.0
AP_East Godavari,23,8571.0
AP_East Godavari,24,8941.0
AP_East Godavari,25,8774.0
AP_East Godavari,26,9690.0
AP_East Godavari,27,9853.0
AP_East Godavari,28,7937.0
AP_East Godavari,29,6775.0
AP_East Godavari,30,5383.0
AP_East Godavari,31,4269.0
AP_East Godavari,32,3495.0
AP_East Godavari,33,2638.0
AP_East Godavari,34,2657.0
AP_East Godavari,35,1901.0
AP_East Godavari,36,1188.0
AP_East Godavari,37,716.0
AP_East Godavari,38,406.0
AP_East Godavari,39,335.0
AP_East Godavari,40,320.0
AP_East Godavari,41,289.0
AP_East Godavari,42,199.0
AP_East Godavari,43,168.0
AP_East Godavari,44,132.0
AP_East Godavari,45,107.0
AP_East Godavari,46,89.0
AP_East Godavari,47,63.0
AP_East Godavari,48,42.0
AP_East Godavari,49,38.0
AP_East Godavari,50,53.0
AP_East Godavari,51,60.0
AP_East Godavari,52,107.0
AP_East Godavari,53,189.0
AP_East Godavari,54,425.0
AP_East Godavari,55,189.0
AP_East Godavari,56,359.0
AP_East Godavari,57,3436.0
AP_East Godavari,58,5104.0
AP_East Godavari,59,10145.0
AP_East Godavari,60,15888.0
AP_East Godavari,61,19837.0
AP_East Godavari,62,22783.0
AP_East Godavari,63,18146.0
AP_East Godavari,64,15918.0
AP_East Godavari,65,9615.0
AP_East Godavari,66,7605.0
AP_East Godavari,67,6037.0
AP_East Godavari,68,4698.0
AP_East Godavari,69,4460.0
AP_East Godavari,70,3117.0
AP_East Godavari,71,2738.0
AP_East Godavari,72,2075.0
AP_East Godavari,73,2690.0
AP_East Godavari,74,2321.0
AP_Guntur,1,0.0
AP_Guntur,2,0.0
AP_Guntur,3,0.0
AP_Guntur,4,0.0
AP_Guntur,5,0.0
AP_Guntur,6,0.0
AP_Guntur,7,308.0
AP_Guntur,8,68.0
AP_Guntur,9,37.0
AP_Guntur,10,13.0
AP_Guntur,11,52.0
AP_Guntur,12,78.0
AP_Guntur,13,56.0
AP_Guntur,14,130.0
AP_Guntur,15,361.0
AP_Guntur,16,567.0
AP_Guntur,17,1197.0
AP_Guntur,18,1677.0
AP_Guntur,19,4912.0
AP_Guntur,20,6213.0
AP_Guntur,21,5168.0
AP_Guntur,22,4712.0
AP_Guntur,23,4336.0
AP_Guntur,24,4785.0
AP_Guntur,25,4762.0
AP_Guntur,26,5114.0
AP_Guntur,27,4318.0
AP_Guntur,28,3845.0
AP_Guntur,29,3517.0
AP_Guntur,30,3185.0
AP_Guntur,31,2441.0
AP_Guntur,32,2898.0
AP_Guntur,33,2470.0
AP_Guntur,34,2012.0
AP_Guntur,35,1558.0
AP_Guntur,36,1107.0
AP_Guntur,37,849.0
AP_Guntur,38,537.0
AP_Guntur,39,592.0
AP_Guntur,40,353.0
AP_Guntur,41,304.0
AP_Guntur,42,298.0
AP_Guntur,43,253.0
AP_Guntur,44,180.0
AP_Guntur,45,120.0
AP_Guntur,46,108.0
AP_Guntur,47,66.0
AP_Guntur,48,52.0
AP_Guntur,49,45.0
AP_Guntur,50,62.0
AP_Guntur,51,67.0
AP_Guntur,52,80.0
AP_Guntur,53,331.0
AP_Guntur,54,701.0
AP_Guntur,55,1790.0
AP_Guntur,56,2857.0
AP_Guntur,57,4224.0
AP_Guntur,58,8540.0
AP_Guntur,59,12363.0
AP_Guntur,60,11754.0
AP_Guntur,61,13053.0
AP_Guntur,62,10305.0
AP_Guntur,63,6501.0
AP_Guntur,64,5110.0
AP_Guntur,65,3416.0
AP_Guntur,66,2545.0
AP_Guntur,67,1856.0
AP_Guntur,68,1876.0
AP_Guntur,69,1523.0
AP_Guntur,70,1332.0
AP_Guntur,71,998.0
AP_Guntur,72,1131.0
AP_Guntur,73,1201.0
AP_Guntur,74,1223.0
AP_Krishna,1,0.0
AP_Krishna,2,0.0
AP_Krishna,3,0.0
AP_Krishna,4,0.0
AP_Krishna,5,0.0
AP_Krishna,6,0.0
AP_Krishna,7,258.0
AP_Krishna,8,80.0
AP_Krishna,9,29.0
AP_Krishna,10,29.0
AP_Krishna,11,60.0
AP_Krishna,12,70.0
AP_Krishna,13,139.0
AP_Krishna,14,317.0
AP_Krishna,15,270.0
AP_Krishna,16,429.0
AP_Krishna,17,617.0
AP_Krishna,18,853.0
AP_Krishna,19,2097.0
AP_Krishna,20,1952.0
AP_Krishna,21,2653.0
AP_Krishna,22,2228.0
AP_Krishna,23,1652.0
AP_Krishna,24,2009.0
AP_Krishna,25,2283.0
AP_Krishna,26,2852.0
AP_Krishna,27,2714.0
AP_Krishna,28,2563.0
AP_Krishna,29,2563.0
AP_Krishna,30,2771.0
AP_Krishna,31,2607.0
AP_Krishna,32,2695.0
AP_Krishna,33,2534.0
AP_Krishna,34,2203.0
AP_Krishna,35,1517.0
AP_Krishna,36,1266.0
AP_Krishna,37,947.0
AP_Krishna,38,735.0
AP_Krishna,39,633.0
AP_Krishna,40,479.0
AP_Krishna,41,397.0
AP_Krishna,42,370.0
AP_Krishna,43,274.0
AP_Krishna,44,164.0
AP_Krishna,45,161.0
AP_Krishna,46,167.0
AP_Krishna,47,117.0
AP_Krishna,48,60.0
AP_Krishna,49,39.0
AP_Krishna,50,56.0
AP_Krishna,51,82.0
AP_Krishna,52,129.0
AP_Krishna,53,188.0
AP_Krishna,54,492.0
AP_Krishna,55,1037.0
AP_Krishna,56,1674.0
AP_Krishna,57,2155.0
AP_Krishna,58,3512.0
AP_Krishna,59,3970.0
AP_Krishna,60,6570.0
AP_Krishna,61,6846.0
AP_Krishna,62,7085.0
AP_Krishna,63,4824.0
AP_Krishna,64,4681.0
AP_Krishna,65,3049.0
AP_Krishna,66,2840.0
AP_Krishna,67,2390.0
AP_Krishna,68,1939.0
AP_Krishna,69,1557.0
AP_Krishna,70,1596.0
AP_Krishna,71,1545.0
AP_Krishna,72,1778.0
AP_Krishna,73,1710.0
AP_Krishna,74,1041.0
AP_Kurnool,1,0.0
AP_Kurnool,2,0.0
AP_Kurnool,3,0.0
AP_Kurnool,4,0.0
AP_Kurnool,5,0.0
AP_Kurnool,6,0.0
AP_Kurnool,7,436.0
AP_Kurnool,8,117.0
AP_Kurnool,9,55.0
AP_Kurnool,10,30.0
AP_Kurnool,11,66.0
AP_Kurnool,12,58.0
AP_Kurnool,13,163.0
AP_Kurnool,14,322.0
AP_Kurnool,15,437.0
AP_Kurnool,16,670.0
AP_Kurnool,17,814.0
AP_Kurnool,18,2513.0
AP_Kurnool,19,4676.0
AP_Kurnool,20,7724.0
AP_Kurnool,21,7951.0
AP_Kurnool,22,6714.0
AP_Kurnool,23,5404.0
AP_Kurnool,24,5098.0
AP_Kurnool,25,4758.0
AP_Kurnool,26,3178.0
AP_Kurnool,27,2570.0
AP_Kurnool,28,1702.0
AP_Kurnool,29,1396.0
AP_Kurnool,30,1078.0
AP_Kurnool,31,797.0
AP_Kurnool,32,429.0
AP_Kurnool,33,312.0
AP_Kurnool,34,230.0
AP_Kurnool,35,217.0
AP_Kurnool,36,139.0
AP_Kurnool,37,154.0
AP_Kurnool,38,79.0
AP_Kurnool,39,89.0
AP_Kurnool,40,107.0
AP_Kurnool,41,47.0
AP_Kurnool,42,52.0
AP_Kurnool,43,82.0
AP_Kurnool,44,59.0
AP_Kurnool,45,47.0
AP_Kurnool,46,39.0
AP_Kurnool,47,22.0
AP_Kurnool,48,15.0
AP_Kurnool,49,12.0
AP_Kurnool,50,20.0
AP_Kurnool,51,38.0
AP_Kurnool,52,31.0
AP_Kurnool,53,148.0
AP_Kurnool,54,267.0
AP_Kurnool,55,425.0
AP_Kurnool,56,1085.0
AP_Kurnool,57,2524.0
AP_Kurnool,58,6246.0
AP_Kurnool,59,6280.0
AP_Kurnool,60,13208.0
AP_Kurnool,61,8427.0
AP_Kurnool,62,7255.0
AP_Kurnool,63,7192.0
AP_Kurnool,64,3457.0
AP_Kurnool,65,1745.0
AP_Kurnool,66,1486.0
AP_Kurnool,67,881.0
AP_Kurnool,68,590.0
AP_Kurnool,69,431.0
AP_Kurnool,70,200.0
AP_Kurnool,71,234.0
AP_Kurnool,72,163.0
AP_Kurnool,73,280.0
AP_Kurnool,74,101.0
AP_Prakasam,1,0.0
AP_Prakasam,2,0.0
AP_Prakasam,3,0.0
AP_Prakasam,4,0.0
AP_Prakasam,5,0.0
AP_Prakasam,6,0.0
