districtid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AP_Anantapur,20,61,5,14
AP_Chittoor,23,62,5,14
AP_East Godavari,24,62,5,14
AP_Guntur,25,61,5,14
AP_Krishna,21,63,5,14
AP_Kurnool,21,60,5,14
AP_Prakasam,26,62,6,14
AP_S.P.S. Nellore,24,61,5,14
AP_Srikakulam,25,60,6,14
AP_Visakhapatnam,20,62,5,14
AP_Vizianagaram,26,62,6,14
AP_West Godavari,26,62,6,14
AP_Y.S.R. Kadapa,25,61,5,14
AR_Anjaw,29,64,7,15
AR_Changlang,30,63,7,15
AR_East Kameng,21,65,5,15
AR_East Siang,31,69,6,16
AR_Kamle,29,70,7,16
AR_Kra Daadi,29,65,7,15
AR_Kurung Kumey,28,68,6,16
AR_Lepa Rada,30,71,7,16
AR_Lohit,31,71,7,16
AR_Longding,28,69,6,16
AR_Lower Dibang Valley,31,59,6,14
AR_Lower Siang,29,73,5,14
AR_Lower Subansiri,27,73,6,17
AR_Namsai,21,63,5,15
AR_Pakke Kessang,27,68,7,16
AR_Papum Pare,29,71,7,16
AR_Shi Yomi,34,70,8,16
AR_Siang,32,70,7,16
AR_Tawang,25,63,6,16
AR_Tirap,30,70,7,16
AR_Upper Dibang Valley,31,63,7,14
AR_Upper Siang,32,63,6,15
AR_Upper Subansiri,23,68,7,16
AR_West Kameng,24,69,5,16
AR_West Siang,30,71,7,16
AS_Dibrugarh,26,61,7,14
AS_Udalguri,26,61,7,14
BR_Araria,22,60,5,14
BR_Arwal,22,60,5,14
BR_Aurangabad,29,54,6,13
BR_Banka,21,59,5,14
BR_Begusarai,22,59,5,14
BR_Bhagalpur,21,59,5,14
BR_Bhojpur,21,58,5,14
BR_Buxar,21,58,5,14
BR_Darbhanga,22,60,5,14
BR_East Champaran,22,61,5,14
BR_Gaya,22,59,5,14
BR_Gopalganj,21,59,5,14
BR_Jamui,19,60,5,14
BR_Jehanabad,22,58,5,13
BR_Kaimur,22,58,5,14
BR_Katihar,22,60,5,14
BR_Khagaria,21,59,5,14
BR_Kishanganj,24,60,5,14
BR_Lakhisarai,22,58,5,14
BR_Madhepura,22,60,5,14
BR_Madhubani,23,60,5,14
BR_Munger,22,60,5,14
BR_Muzaffarpur,22,59,5,14
BR_Nalanda,21,59,5,14
BR_Nawada,30,59,7,14
BR_Patna,21,60,5,14
BR_Purnia,22,59,5,14
BR_Rohtas,21,59,5,14
BR_Saharsa,22,59,5,14
BR_Samastipur,21,60,5,14
BR_Saran,21,58,5,14
BR_Sheikhpura,22,59,5,14
BR_Sheohar,22,60,5,14
BR_Sitamarhi,22,59,5,14
BR_Siwan,21,59,5,14
BR_Supaul,27,59,5,14
BR_Vaishali,21,59,5,14
BR_West Champaran,22,59,5,14
CH_Chandigarh,26,60,6,14
CT_Balod,37,59,9,14
CT_Baloda Bazar,27,58,6,14
CT_Balrampur,27,59,5,14
CT_Bametara,34,57,8,13
CT_Bastar,28,61,7,14
CT_Bijapur,26,65,6,15
CT_Bilaspur,39,61,9,14
CT_Dakshin Bastar Dantewada,27,60,6,14
CT_Dhamtari,27,59,9,14
CT_Durg,27,56,6,13
CT_Gariaband,27,57,6,13
CT_Janjgir Champa,30,60,7,14
CT_Jashpur,32,60,8,14
CT_Kabeerdham,27,59,6,14
CT_Kondagaon,34,60,7,14
CT_Korba,34,59,7,14
CT_Koriya,27,60,6,14
CT_Mahasamund,27,59,6,13
CT_Mungeli,27,60,6,14
CT_Narayanpur,27,61,7,14
CT_Raigarh,36,60,8,14
CT_Raipur,26,56,6,13
CT_Rajnandgaon,27,57,6,13
CT_Sukma,33,68,7,15
CT_Surajpur,27,61,6,14
CT_Surguja,30,61,7,14
CT_Uttar Bastar Kanker,28,59,7,14
DN_Dadra and Nagar Haveli,23,58,5,14
DN_Daman,20,60,5,14
DN_Diu,61,62,5,14
GJ_Ahmedabad,9,59,6,14
GJ_Amreli,37,61,7,14
GJ_Anand,37,61,9,14
GJ_Aravalli,29,61,7,14
GJ_Banaskantha,37,61,8,14
GJ_Bharuch,23,59,7,14
