districtid,monthid,dose1,dose2
AP_Anantapur,1,15323,730
AP_Anantapur,2,37664,12739
AP_Anantapur,3,247138,19856
AP_Anantapur,4,145179,138488
AP_Anantapur,5,255680,31260
AP_Anantapur,6,331417,101799
AP_Anantapur,7,331973,292474
AP_Chittoor,1,30004,340
AP_Chittoor,2,51481,21464
AP_Chittoor,3,301198,29836
AP_Chittoor,4,142743,138756
AP_Chittoor,5,290964,46657
AP_Chittoor,6,344063,84497
AP_Chittoor,7,405138,319314
AP_East Godavari,1,40366,301
AP_East Godavari,2,57430,25601
AP_East Godavari,3,284349,39754
AP_East Godavari,4,117227,139769
AP_East Godavari,5,449337,49546
AP_East Godavari,6,459931,110817
AP_East Godavari,7,518850,186685
AP_Guntur,1,22279,1086
AP_Guntur,2,53718,17868
AP_Guntur,3,259840,33024
AP_Guntur,4,161797,112864
AP_Guntur,5,368959,65573
AP_Guntur,6,464820,115211
AP_Guntur,7,427122,246815
AP_Krishna,1,24659,525
AP_Krishna,2,47857,20469
AP_Krishna,3,289038,25617
AP_Krishna,4,133678,142162
AP_Krishna,5,440711,68656
AP_Krishna,6,375048,131110
AP_Krishna,7,445270,169050
AP_Kurnool,1,21404,507
AP_Kurnool,2,30493,15074
AP_Kurnool,3,238431,20149
AP_Kurnool,4,99290,117334
AP_Kurnool,5,261402,26473
AP_Kurnool,6,284107,73875
AP_Kurnool,7,307565,239216
AP_Prakasam,1,21893,137
AP_Prakasam,2,26572,10598
AP_Prakasam,3,220967,23417
AP_Prakasam,4,106198,107527
AP_Prakasam,5,290723,53990
AP_Prakasam,6,321230,62132
AP_Prakasam,7,244329,257990
AP_S.P.S. Nellore,1,32205,656
AP_S.P.S. Nellore,2,41369,23078
AP_S.P.S. Nellore,3,208389,34130
AP_S.P.S. Nellore,4,109506,117798
AP_S.P.S. Nellore,5,260743,25673
AP_S.P.S. Nellore,6,260949,148451
AP_S.P.S. Nellore,7,244915,178903
AP_Srikakulam,1,25982,713
AP_Srikakulam,2,31735,19604
AP_Srikakulam,3,180152,18037
AP_Srikakulam,4,79204,73897
AP_Srikakulam,5,273621,19623
AP_Srikakulam,6,263582,87996
AP_Srikakulam,7,174293,117102
AP_Visakhapatnam,1,28630,241
