districtid,weekid,dose1,dose2
AP_Anantapur,1,287,0
AP_Anantapur,2,3802,0
AP_Anantapur,3,3115,0
AP_Anantapur,4,5029,0
AP_Anantapur,5,3090,730
AP_Anantapur,6,7823,6535
AP_Anantapur,7,12487,2936
AP_Anantapur,8,5747,1603
AP_Anantapur,9,11607,1665
AP_Anantapur,10,36732,2275
AP_Anantapur,11,76134,8658
AP_Anantapur,12,41180,2254
AP_Anantapur,13,56584,3931
AP_Anantapur,14,36573,2764
AP_Anantapur,15,63040,33895
AP_Anantapur,16,49088,38962
AP_Anantapur,17,28427,54745
AP_Anantapur,18,4609,11140
AP_Anantapur,19,5383,5770
AP_Anantapur,20,117444,7162
AP_Anantapur,21,60972,8832
AP_Anantapur,22,50427,8729
AP_Anantapur,23,25728,736
AP_Anantapur,24,122622,21682
AP_Anantapur,25,105115,28536
AP_Anantapur,26,19108,979
AP_Anantapur,27,85573,93324
AP_Anantapur,28,29879,59407
AP_Anantapur,29,84350,66175
AP_Anantapur,30,107455,64406
AP_Anantapur,31,104964,59515
AP_Chittoor,1,424,0
AP_Chittoor,2,5540,0
AP_Chittoor,3,5056,0
AP_Chittoor,4,11874,0
AP_Chittoor,5,7110,340
AP_Chittoor,6,8949,6661
AP_Chittoor,7,11346,3951
AP_Chittoor,8,13430,4543
AP_Chittoor,9,17754,6309
AP_Chittoor,10,53306,4930
AP_Chittoor,11,75213,5476
AP_Chittoor,12,54834,3539
AP_Chittoor,13,50493,9503
AP_Chittoor,14,69936,7093
AP_Chittoor,15,56746,49413
AP_Chittoor,16,62590,40254
AP_Chittoor,17,18804,39680
AP_Chittoor,18,2349,9929
AP_Chittoor,19,4244,19053
AP_Chittoor,20,141915,3213
AP_Chittoor,21,72600,18788
AP_Chittoor,22,51933,2287
AP_Chittoor,23,32733,3007
AP_Chittoor,24,155841,30046
AP_Chittoor,25,106254,24087
AP_Chittoor,26,10327,2505
AP_Chittoor,27,88924,49385
AP_Chittoor,28,19278,64035
AP_Chittoor,29,79977,149687
AP_Chittoor,30,153299,76380
