districtid,vaccinationratio
OR_Khordha,0.231
AS_Barpeta,0.818
BR_Patna,0.93
MH_Bhandara,1.182
AS_Sonitpur,1.394
MH_Gondia,1.409
MH_Washim,1.521
DL_New Delhi,1.786
TG_Ranga Reddy,2.092
TG_Hyderabad,2.195
DL_South East Delhi,2.21
MH_Sindhudurg,2.524
TG_Medchal Malkajgiri,2.556
GJ_Chhota Udaipur,2.651
TN_Chennai,2.692
OR_Ganjam,2.721
DL_West Delhi,2.728
MH_Ratnagiri,2.758
MP_Jabalpur,2.785
DL_North West Delhi,2.851
GJ_Amreli,2.862
RJ_Jaipur,2.949
GJ_Aravalli,2.955
MH_Buldhana,2.958
TN_Vellore,2.96
UP_Sonbhadra,3.049
UP_Amethi,3.052
JH_Khunti,3.07
UP_Fatehpur,3.102
HR_Palwal,3.106
DL_Central Delhi,3.129
JH_Hazaribagh,3.135
GJ_Gir Somnath,3.317
DL_North Delhi,3.328
MH_Nanded,3.333
HR_Karnal,3.361
MH_Amravati,3.363
GJ_Navsari,3.374
MH_Dhule,3.4
CT_Raipur,3.435
JH_Palamu,3.436
DL_South Delhi,3.441
TG_Mulugu,3.498
PB_Fatehgarh Sahib,3.525
MH_Hingoli,3.598
TG_Yadadri Bhuvanagiri,3.604
TG_Jayashankar Bhupalapally,3.673
GJ_Kheda,3.688
MH_Osmanabad,3.71
HR_Sonipat,3.859
MH_Ahmednagar,3.888
MP_Tikamgarh,3.893
RJ_Ajmer,3.897
JH_Lohardaga,3.946
MH_Latur,3.959
MH_Gadchiroli,3.962
AP_Guntur,3.968
UP_Kushinagar,4.029
JH_Ranchi,4.031
GJ_Devbhumi Dwarka,4.044
KA_Chamarajanagara,4.125
GJ_Porbandar,4.125
AS_Hojai,4.182
AP_Prakasam,4.199
AP_Krishna,4.225
DL_North East Delhi,4.228
TG_Sangareddy,4.331
MP_Sagar,4.341
KA_Raichur,4.344
MH_Akola,4.345
RJ_Tonk,4.379
MH_Jalna,4.416
JH_Dumka,4.442
UP_Maharajganj,4.445
GJ_Narmada,4.487
DL_Shahdara,4.503
HR_Ambala,4.506
BR_East Champaran,4.536
RJ_Bikaner,4.557
PB_Bathinda,4.573
CT_Rajnandgaon,4.573
HR_Charkhi Dadri,4.576
KA_Bagalkote,4.583
RJ_Jodhpur,4.599
PB_Sri Muktsar Sahib,4.619
MH_Yavatmal,4.619
JH_East Singhbhum,4.638
MP_Raisen,4.647
UP_Aligarh,4.663
MP_Burhanpur,4.708
BR_Gaya,4.721
AP_Visakhapatnam,4.74
JH_Dhanbad,4.741
AP_West Godavari,4.747
WB_Malda,4.759
AP_Chittoor,4.761
JH_Ramgarh,4.789
KA_Vijayapura,4.793
GJ_Patan,4.801
UP_Firozabad,4.818
BR_Purnia,4.938
PB_Fazilka,4.989
DL_South West Delhi,4.996
UP_Sambhal,4.997
PB_Sangrur,5.005
UP_Shamli,5.025
HR_Rohtak,5.031
PB_S.A.S. Nagar,5.072
HR_Panipat,5.076
MP_Indore,5.078
KA_Hassan,5.084
UP_Hathras,5.091
TN_Coimbatore,5.141
JH_Jamtara,5.143
PB_Ludhiana,5.152
WB_Uttar Dinajpur,5.189
KA_Bengaluru Urban,5.196
JH_Pakur,5.213
WB_Kolkata,5.267
UP_Ballia,5.273
KA_Koppal,5.28
UP_Lucknow,5.29
GJ_Valsad,5.309
GJ_Botad,5.311
AP_S.P.S. Nellore,5.345
TN_Salem,5.35
WB_Murshidabad,5.354
JH_Gumla,5.373
UP_Varanasi,5.422
UP_Bijnor,5.453
PB_Hoshiarpur,5.459
BR_Banka,5.469
AP_Kurnool,5.534
KA_Kodagu,5.569
UP_Jhansi,5.583
TN_Erode,5.595
WB_Purulia,5.602
HR_Panchkula,5.605
MH_Beed,5.609
WB_Bankura,5.61
RJ_Hanumangarh,5.624
KA_Ballari,5.627
RJ_Jhunjhunu,5.649
UP_Meerut,5.674
UP_Azamgarh,5.69
JH_Deoghar,5.693
RJ_Sikar,5.727
HR_Kaithal,5.761
TG_Karimnagar,5.767
MP_Gwalior,5.773
MH_Nandurbar,5.788
UP_Amroha,5.797
WB_Alipurduar,5.801
PB_Shahid Bhagat Singh Nagar,5.894
KA_Udupi,5.898
JH_Sahibganj,5.903
KA_Kolar,5.93
UP_Jaunpur,5.945
PB_Rupnagar,5.955
AP_Anantapur,5.985
PB_Barnala,5.995
JH_Godda,6.01
UP_Moradabad,6.016
GJ_Panchmahal,6.026
BR_Saran,6.03
TG_Siddipet,6.055
TN_Krishnagiri,6.083
WB_Darjeeling,6.093
MP_Datia,6.094
UP_Ghazipur,6.115
TN_Karur,6.129
AP_East Godavari,6.16
WB_Dakshin Dinajpur,6.205
HR_Bhiwani,6.222
WB_Birbhum,6.245
JH_Giridih,6.248
MP_Hoshangabad,6.254
UP_Balrampur,6.261
JH_Bokaro,6.269
HR_Gurugram,6.304
JH_Koderma,6.342
PB_Pathankot,6.347
KA_Dakshina Kannada,6.368
MH_Wardha,6.373
UP_Pratapgarh,6.378
TG_Khammam,6.388
MP_Ujjain,6.395
TN_Ranipet,6.398
TN_Cuddalore,6.403
UP_Mathura,6.419
AS_Cachar,6.434
HR_Jhajjar,6.444
WB_Kalimpong,6.485
DL_East Delhi,6.492
MH_Jalgaon,6.493
BR_Darbhanga,6.5
TN_Namakkal,6.503
MP_Ashoknagar,6.538
TN_Madurai,6.557
RJ_Jaisalmer,6.563
KA_Ramanagara,6.564
UP_Gonda,6.618
WB_Cooch Behar,6.619
AP_Vizianagaram,6.649
WB_Jhargram,6.656
AS_Kamrup Metropolitan,6.659
TN_Thiruvarur,6.674
RJ_Udaipur,6.688
TN_Tirunelveli,6.69
BR_Madhubani,6.727
WB_Jalpaiguri,6.731
UP_Rampur,6.75
WB_Nadia,6.774
TN_Tiruchirappalli,6.794
KA_Chikkaballapura,6.808
TN_Thiruvallur,6.81
TN_Tiruppur,6.92
KA_Gadag,6.922
RJ_Nagaur,6.923
MP_Rajgarh,6.943
JK_Jammu,6.964
AS_Dima Hasao,6.966
MP_Bhopal,6.974
MH_Raigad,6.977
AP_Srikakulam,6.978
HR_Yamunanagar,6.983
JK_Srinagar,6.997
GJ_Surendranagar,7.019
PB_Faridkot,7.021
JH_West Singhbhum,7.045
GJ_Mehsana,7.053
KL_Kollam,7.062
KA_Chikkamagaluru,7.064
MP_Chhatarpur,7.069
