First District,Second District
AP_Anantapur,KA_Ballari
AP_Anantapur,KA_Chikkaballapura
AP_Anantapur,KA_Chitradurga
AP_Anantapur,AP_Chittoor
AP_Anantapur,AP_Kurnool
AP_Anantapur,KA_Tumakuru
AP_Anantapur,AP_Y.S.R. Kadapa
AP_Chittoor,AP_Anantapur
AP_Chittoor,KA_Chikkaballapura
AP_Chittoor,KA_Kolar
AP_Chittoor,TN_Krishnagiri
AP_Chittoor,AP_S.P.S. Nellore
AP_Chittoor,TN_Thiruvallur
AP_Chittoor,TN_Vellore
AP_Chittoor,AP_Y.S.R. Kadapa
AP_East Godavari,TG_Bhadradri Kothagudem
AP_East Godavari,OR_Malkangiri
AP_East Godavari,CT_Sukma
AP_East Godavari,AP_Visakhapatnam
AP_East Godavari,AP_West Godavari
AP_Guntur,AP_Krishna
AP_Guntur,TG_Nagarkurnool
AP_Guntur,TG_Nalgonda
AP_Guntur,AP_Prakasam
AP_Guntur,TG_Suryapet
AP_Krishna,AP_Guntur
AP_Krishna,TG_Khammam
AP_Krishna,TG_Suryapet
AP_Krishna,AP_West Godavari
AP_Kurnool,AP_Anantapur
AP_Kurnool,KA_Ballari
AP_Kurnool,TG_Jogulamba Gadwal
AP_Kurnool,TG_Nagarkurnool
AP_Kurnool,AP_Prakasam
AP_Kurnool,KA_Raichur
AP_Kurnool,TG_Wanaparthy
AP_Kurnool,AP_Y.S.R. Kadapa
AP_Prakasam,AP_Guntur
AP_Prakasam,AP_Kurnool
AP_Prakasam,TG_Nagarkurnool
AP_Prakasam,AP_S.P.S. Nellore
AP_Prakasam,AP_Y.S.R. Kadapa
AP_S.P.S. Nellore,AP_Chittoor
AP_S.P.S. Nellore,AP_Prakasam
AP_S.P.S. Nellore,TN_Thiruvallur
AP_S.P.S. Nellore,AP_Y.S.R. Kadapa
AP_Srikakulam,OR_Gajapati
AP_Srikakulam,OR_Ganjam
AP_Srikakulam,OR_Rayagada
AP_Srikakulam,AP_Vizianagaram
AP_Visakhapatnam,AP_East Godavari
AP_Visakhapatnam,OR_Koraput
AP_Visakhapatnam,OR_Malkangiri
AP_Visakhapatnam,AP_Vizianagaram
AP_Vizianagaram,OR_Koraput
AP_Vizianagaram,OR_Rayagada
AP_Vizianagaram,AP_Srikakulam
AP_Vizianagaram,AP_Visakhapatnam
AP_West Godavari,TG_Bhadradri Kothagudem
AP_West Godavari,AP_East Godavari
AP_West Godavari,TG_Khammam
AP_West Godavari,AP_Krishna
AP_Y.S.R. Kadapa,AP_Anantapur
AP_Y.S.R. Kadapa,AP_Chittoor
AP_Y.S.R. Kadapa,AP_Kurnool
AP_Y.S.R. Kadapa,AP_Prakasam
AP_Y.S.R. Kadapa,AP_S.P.S. Nellore
AR_Anjaw,AR_Changlang
AR_Anjaw,AR_Lohit
AR_Changlang,AR_Anjaw
AR_Changlang,AR_Lohit
AR_Changlang,AR_Namsai
AR_Changlang,AS_Tinsukia
AR_Changlang,AR_Tirap
AR_East Kameng,AR_Kurung Kumey
AR_East Kameng,AR_Pakke Kessang
AR_East Kameng,AR_Papum Pare
AR_East Kameng,AR_Tawang
AR_East Kameng,AR_West Kameng
AR_East Siang,AS_Dhemaji
AR_East Siang,AR_Lower Dibang Valley
AR_East Siang,AR_Lower Siang
AR_East Siang,AR_Siang
AR_East Siang,AS_Tinsukia
AR_East Siang,AR_Upper Siang
AR_Kamle,AS_Dhemaji
AR_Kamle,AR_Kra Daadi
AR_Kamle,AS_Lakhimpur
AR_Kamle,AR_Lower Siang
AR_Kamle,AR_Lower Subansiri
AR_Kamle,AR_Papum Pare
AR_Kamle,AR_Upper Subansiri
AR_Kra Daadi,AR_Kamle
AR_Kra Daadi,AR_Kurung Kumey
AR_Kra Daadi,AR_Lower Subansiri
AR_Kra Daadi,AR_Papum Pare
AR_Kra Daadi,AR_Upper Subansiri
AR_Kurung Kumey,AR_East Kameng
AR_Kurung Kumey,AR_Kra Daadi
AR_Kurung Kumey,AR_Papum Pare
AR_Kurung Kumey,AR_Upper Subansiri
AR_Lepa Rada,AR_Lower Siang
AR_Lepa Rada,AR_Upper Subansiri
AR_Lepa Rada,AR_West Siang
AR_Lohit,AR_Anjaw
AR_Lohit,AR_Changlang
AR_Lohit,AR_Lower Dibang Valley
AR_Lohit,AR_Namsai
AR_Lohit,AS_Tinsukia
AR_Longding,AS_Charaideo
AR_Longding,AS_Dibrugarh
AR_Longding,NL_Mon
AR_Longding,AR_Tirap
AR_Lower Dibang Valley,AS_Dhemaji
AR_Lower Dibang Valley,AR_East Siang
AR_Lower Dibang Valley,AR_Lohit
AR_Lower Dibang Valley,AS_Tinsukia
AR_Lower Dibang Valley,AR_Upper Dibang Valley
AR_Lower Dibang Valley,AR_Upper Siang
AR_Lower Siang,AS_Dhemaji
AR_Lower Siang,AR_East Siang
AR_Lower Siang,AR_Kamle
AR_Lower Siang,AR_Lepa Rada
AR_Lower Siang,AR_Siang
AR_Lower Siang,AR_Upper Subansiri
AR_Lower Siang,AR_West Siang
AR_Lower Subansiri,AR_Kamle
AR_Lower Subansiri,AR_Kra Daadi
AR_Lower Subansiri,AR_Papum Pare
AR_Namsai,AR_Changlang
AR_Namsai,AR_Lohit
AR_Namsai,AS_Tinsukia
AR_Pakke Kessang,AS_Biswanath
AR_Pakke Kessang,AR_East Kameng
AR_Pakke Kessang,AR_Papum Pare
AR_Pakke Kessang,AS_Sonitpur
AR_Pakke Kessang,AR_West Kameng
AR_Papum Pare,AS_Biswanath
AR_Papum Pare,AR_East Kameng
AR_Papum Pare,AR_Kamle
AR_Papum Pare,AR_Kra Daadi
AR_Papum Pare,AR_Kurung Kumey
AR_Papum Pare,AS_Lakhimpur
AR_Papum Pare,AR_Lower Subansiri
AR_Papum Pare,AR_Pakke Kessang
AR_Shi Yomi,AR_Siang
AR_Shi Yomi,AR_Upper Siang
AR_Shi Yomi,AR_Upper Subansiri
AR_Shi Yomi,AR_West Siang
AR_Siang,AR_East Siang
AR_Siang,AR_Lower Siang
AR_Siang,AR_Shi Yomi
AR_Siang,AR_Upper Siang
AR_Siang,AR_West Siang
AR_Tawang,AR_East Kameng
AR_Tawang,AR_West Kameng
AR_Tirap,AR_Changlang
AR_Tirap,AS_Dibrugarh
AR_Tirap,AR_Longding
AR_Tirap,AS_Tinsukia
AR_Upper Dibang Valley,AR_Lower Dibang Valley
AR_Upper Dibang Valley,AR_Upper Siang
AR_Upper Siang,AR_East Siang
AR_Upper Siang,AR_Lower Dibang Valley
AR_Upper Siang,AR_Shi Yomi
AR_Upper Siang,AR_Siang
AR_Upper Siang,AR_Upper Dibang Valley
AR_Upper Subansiri,AR_Kamle
AR_Upper Subansiri,AR_Kra Daadi
AR_Upper Subansiri,AR_Kurung Kumey
AR_Upper Subansiri,AR_Lepa Rada
AR_Upper Subansiri,AR_Lower Siang
AR_Upper Subansiri,AR_Shi Yomi
AR_Upper Subansiri,AR_West Siang
AR_West Kameng,AR_East Kameng
AR_West Kameng,AR_Pakke Kessang
AR_West Kameng,AS_Sonitpur
AR_West Kameng,AR_Tawang
AR_West Kameng,AS_Udalguri
AR_West Siang,AR_Lepa Rada
AR_West Siang,AR_Lower Siang
AR_West Siang,AR_Shi Yomi
AR_West Siang,AR_Siang
AR_West Siang,AR_Upper Subansiri
AS_Baksa,AS_Barpeta
AS_Baksa,AS_Chirang
AS_Baksa,AS_Darrang
AS_Baksa,AS_Kamrup
AS_Baksa,AS_Nalbari
AS_Baksa,AS_Udalguri
AS_Barpeta,AS_Baksa
AS_Barpeta,AS_Bongaigaon
AS_Barpeta,AS_Chirang
AS_Barpeta,AS_Goalpara
AS_Barpeta,AS_Kamrup
AS_Barpeta,AS_Nalbari
AS_Biswanath,AS_Golaghat
AS_Biswanath,AS_Lakhimpur
AS_Biswanath,AS_Nagaon
AS_Biswanath,AR_Pakke Kessang
AS_Biswanath,AR_Papum Pare
AS_Biswanath,AS_Sonitpur
