stateid,wave1 − weekid,wave2 − weekid,wave1 − monthid,wave2 − monthid
AP,24,62,6,14
AR,30,71,7,16
AS,26,61,7,14
BR,22,60,5,14
CH,26,60,6,14
CT,27,60,6,13
DN,22,58,5,14
GJ,29,59,6,14
HP,37,61,9,14
HR,27,60,6,14
JH,25,60,6,14
JK,27,60,6,14
KA,30,61,7,14
KL,32,61,7,14
LA,29,57,7,14
LD,1,62,1,14
MH,27,58,6,13
ML,30,62,7,15
MN,26,61,7,14
MP,27,60,6,14
MZ,27,72,8,17
NL,22,63,5,14
OR,28,62,6,14
PB,27,60,6,14
PY,28,61,6,14
RJ,37,60,7,14
TN,19,63,5,14
TR,26,62,6,15
UP,26,59,6,14
UT,27,61,6,14
WB,32,61,7,14
