stateid,overallid,dose1,dose2
AP,1,5552691,1738899
AR,1,14425968,3789469
AS,1,18611953,5301991
BR,1,23957072,6604905
CH,1,310503,91399
CT,1,16125468,4537168
DL,1,6093977,1396974
DN,1,1995679,713665
GA,1,672187,153784
GJ,1,17293690,5390807
HP,1,6718303,1817317
HR,1,10416484,2911396
JH,1,12994077,3915255
JK,1,15487825,4711380
KA,1,13347628,3698946
KL,1,5384525,1868118
LA,1,927479,166470
LD,1,460501,62901
MH,1,27035525,7985704
ML,1,11272703,3607432
MN,1,11090405,3152418
MP,1,26672632,7161583
MZ,1,5641156,1638205
NL,1,6393926,1795888
OR,1,13955692,3972411
PB,1,13830029,3933778
PY,1,2072272,554027
RJ,1,19344660,5158699
SK,1,1960312,654244
TG,1,22646043,6842755
TN,1,19701013,5761728
TR,1,6316015,1820696
UP,1,37206050,9706775
UT,1,5981296,1621718
WB,1,14637926,4710534
