stateid,weekid,dose1,dose2
AP,1,4216,0
AP,2,66164,0
AP,3,63191,0
AP,4,112367,0
AP,5,67569,6233
AP,6,100311,81237
AP,7,122137,50342
AP,8,117103,45307
AP,9,195605,54193
AP,10,445838,61917
AP,11,667934,73728
AP,12,604379,47066
AP,13,714537,101863
AP,14,728589,76034
AP,15,533378,528629
AP,16,631642,392788
AP,17,261632,454871
AP,18,48122,193005
AP,19,79646,180783
AP,20,1710375,133539
AP,21,956613,90939
AP,22,1025779,47528
AP,23,593828,32276
AP,24,2069992,254321
AP,25,1251921,361815
AP,26,299752,204683
AP,27,1035127,644884
AP,28,402582,537279
AP,29,1186472,917332
AP,30,1380322,567504
AP,31,1039018,345116
AR,1,81,0
AR,2,2365,0
AR,3,4045,0
AR,4,2797,0
AR,5,3963,456
AR,6,6767,3764
AR,7,5885,2742
AR,8,11346,2690
AR,9,8860,2904
AR,10,10377,3944
AR,11,11366,3469
AR,12,10262,2651
AR,13,23642,6926
AR,14,32191,7263
AR,15,28718,9706
AR,16,27245,9099
AR,17,17836,14280
AR,18,11013,7987
AR,19,26396,191
AR,20,9292,198
AR,21,39729,330
AR,22,37188,429
AR,23,67181,593
AR,24,71623,1717
AR,25,64082,8122
AR,26,55752,22204
AR,27,37351,24789
AR,28,25971,22686
AR,29,17741,15395
AR,30,16958,8849
AR,31,12954,16353
AS,1,401,0
AS,2,3660,0
AS,3,26512,0
AS,4,47925,0
AS,5,43552,2006
AS,6,31279,8584
AS,7,42047,17168
AS,8,148225,24810
AS,9,126257,31299
AS,10,87796,24516
AS,11,332813,33017
AS,12,140106,32003
AS,13,205557,76554
AS,14,59332,40762
AS,15,297490,122152
AS,16,427578,140664
AS,17,325788,103004
AS,18,285358,74338
AS,19,306857,46646
AS,20,308167,49656
AS,21,220749,20593
AS,22,374072,69556
AS,23,427672,138079
AS,24,1389486,127319
AS,25,643862,111854
AS,26,263231,50524
AS,27,671272,181569
AS,28,720674,184910
AS,29,751281,217665
AS,30,1480218,220949
AS,31,1240836,292703
BR,1,2967,0
BR,2,35442,0
BR,3,67342,0
BR,4,224576,0
BR,5,121379,55
BR,6,67654,38347
BR,7,39961,39826
BR,8,84363,106740
BR,9,429095,107410
BR,10,379926,75699
BR,11,637591,40374
BR,12,672940,24127
BR,13,1190747,104666
BR,14,941202,145577
BR,15,585058,199000
BR,16,448482,237224
BR,17,375673,359313
BR,18,875670,211098
BR,19,612349,40111
BR,20,638997,43592
BR,21,652055,65897
BR,22,948946,67327
BR,23,1439227,131631
BR,24,2036374,137168
BR,25,1215113,220262
BR,26,1158201,278383
BR,27,1671900,436012
BR,28,1098865,293284
BR,29,1899663,487583
BR,30,2393761,508959
BR,31,2221859,459602
CH,1,120,0
CH,2,670,0
